,name,company,year,Price,kms_driven,fuel_type
78,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol
79,Toyota Corolla Altis,Toyota,2010,351000,38000,Diesel
80,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol
81,Toyota Corolla Altis,Toyota,2009,240000,35000,Petrol
82,Honda City 1.5,Honda,2005,90000,50000,Petrol
83,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol
84,Skoda Fabia 1.2L,Skoda,2011,155000,45863,Diesel
85,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol
86,Toyota Etios GD,Toyota,2013,350000,60000,Diesel
87,Ford Figo Diesel,Ford,2012,210000,35000,Diesel
88,Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol
89,Chevrolet Beat LT,Chevrolet,2012,135000,45000,Diesel
90,Mahindra XUV500 W8,Mahindra,2013,701000,38000,Diesel
91,Hyundai i10 Magna,Hyundai,2014,265000,18000,Petrol
92,Hyundai Verna Fluidic,Hyundai,2015,525000,35000,Diesel
93,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
94,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
95,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel
96,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
97,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
98,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol
99,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel
100,Honda Amaze 1.2,Honda,2014,325000,42000,Petrol
101,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
102,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
103,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
104,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
105,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
106,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
107,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
108,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
109,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
110,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel
111,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol
112,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel
113,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol
114,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol
115,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
116,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol
117,Honda Amaze 1.5,Honda,2013,299000,45000,Diesel
118,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol
119,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol
120,Honda City 1.5,Honda,2010,285000,35000,Petrol
121,Ford EcoSport Trend,Ford,2016,830000,24330,Diesel
122,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol
123,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol
124,Tata Indica V2,Tata,2006,90000,20000,Petrol
125,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol
126,Toyota Corolla Altis,Toyota,2012,349999,59000,Petrol
127,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel
128,Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,Diesel
129,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol
130,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol
131,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel
132,Renault Duster,Renault,2014,449999,50000,Diesel
133,Honda Amaze,Honda,2015,344999,22000,Petrol
134,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol
135,Renault Kwid,Renault,2016,244999,11000,Petrol
136,Renault Duster,Renault,2013,399999,41000,Diesel
137,Ford EcoSport,Ford,2017,489999,39000,Petrol
138,Renault Duster,Renault,2014,474999,50000,Diesel
139,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel
140,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol
141,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol
142,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel
143,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel
144,Toyota Etios GD,Toyota,2013,275000,24800,Petrol
145,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel
146,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol
147,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel
148,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel
149,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel
150,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel
151,Tata Indigo CS,Tata,2011,85000,11400,Diesel
152,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol
153,Honda City 1.5,Honda,2014,549000,39000,Petrol
154,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel
155,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol
156,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
157,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel
158,Honda Brio,Honda,2012,224999,30000,Petrol
159,Ford Fiesta,Ford,2011,274999,55000,Diesel
160,Honda Amaze,Honda,2013,284999,46000,Diesel
161,Honda City,Honda,2015,599999,30000,Diesel
162,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol
163,Honda City,Honda,2014,544999,45000,Diesel
164,Hyundai i20,Hyundai,2009,199000,31000,Petrol
165,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
166,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
167,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
168,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
169,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol
170,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol
171,Honda City,Honda,2015,448999,54000,Petrol
172,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol
173,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel
174,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel
175,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel
176,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol
177,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol
178,Tata Nano Cx,Tata,2013,40000,2200,Petrol
179,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol
180,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol
181,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol
182,Tata Sumo Victa,Tata,2012,285000,65000,Diesel
183,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol
184,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol
185,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel
186,Renault Scala RxL,Renault,2015,375000,25000,Diesel
187,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
188,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
189,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
190,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
191,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
192,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
193,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
194,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
195,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
196,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
197,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
198,Toyota Etios,Toyota,2011,275000,36000,Diesel
199,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
200,Honda City ZX,Honda,2008,110000,45000,Petrol
201,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol
202,Honda City VX,Honda,2016,519000,52000,Diesel
203,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel
204,Audi A4 1.8,Audi,2009,699000,47000,Petrol
205,Renault Kwid RXT,Renault,2017,340000,5000,Petrol
206,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel
207,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
208,Tata Indigo eCS,Tata,2016,320000,175400,Diesel
209,Honda Jazz VX,Honda,2016,450000,41000,Petrol
210,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol
211,Honda Amaze,Honda,2013,284999,46000,Diesel
212,Honda City,Honda,2012,399999,45000,Petrol
213,Honda City,Honda,2015,599999,39000,Diesel
214,Honda Amaze,Honda,2015,344999,22000,Petrol
215,Audi A4 1.8,Audi,2009,699000,47000,Petrol
216,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
217,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel
218,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol
219,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
220,Honda Amaze,Honda,2013,284999,46000,Diesel
221,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol
222,Tata Sumo Gold,Tata,2013,300000,50000,Diesel
223,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol
224,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol
225,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol
226,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel
227,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
228,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
229,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
230,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
231,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
232,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
233,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
234,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
235,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
236,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol
237,Renault Duster 85,Renault,2013,489999,27000,Diesel
238,Renault Duster 85,Renault,2014,489999,59000,Diesel
239,Renault Duster 85,Renault,2015,549999,19000,Diesel
240,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol
241,Renault Kwid RXT,Renault,2018,325000,15000,Petrol
242,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol
243,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol
244,Renault Lodgy 85,Renault,2018,689999,20000,Diesel
245,Renault Scala RxL,Renault,2014,349999,49000,Diesel
246,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol
247,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol
248,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol
249,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
250,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
251,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol
252,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
253,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol
254,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
255,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel
256,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
257,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel
258,Tata Indica V2,Tata,2008,150000,11000,Petrol
259,Tata Indigo CS,Tata,2009,72500,46000,Diesel
260,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol
261,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel
262,Honda Accord,Honda,2009,175000,58559,Petrol
263,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
264,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
265,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel
266,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
267,Honda Amaze,Honda,2014,299999,37000,Petrol
268,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
269,Honda City,Honda,2011,284999,55000,Petrol
270,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel
271,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
272,Honda City,Honda,2015,644999,39000,Petrol
273,Honda Mobilio,Honda,2014,399999,44000,Petrol
274,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol
275,Honda City,Honda,2014,584999,39000,Petrol
276,Skoda Laura,Skoda,2012,349999,44000,Diesel
277,Renault Duster,Renault,2015,449999,49000,Diesel
278,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
279,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
280,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel
281,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel
282,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel
283,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol
284,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel
285,Honda Amaze,Honda,2014,274999,35000,Petrol
286,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel
287,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel
288,Skoda Laura,Skoda,2013,374999,50000,Diesel
289,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel
290,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol
291,Tata Manza Aura,Tata,2012,130000,72000,Diesel
292,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol
293,Renault Duster 110,Renault,2012,501000,38000,Diesel
294,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel
295,Audi A4 2.0,Audi,2012,1350000,40000,Diesel
296,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
297,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel
298,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel
299,Renault Scala RxL,Renault,2015,375000,25000,Diesel
300,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
301,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
302,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
303,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
304,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
305,Hyundai i20,Hyundai,2014,449999,23000,Petrol
306,Hyundai Eon,Hyundai,2014,174999,14000,Petrol
307,Hyundai i10,Hyundai,2012,244999,38000,Petrol
308,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel
309,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol
310,Hyundai Accent,Hyundai,2010,99999,45000,Petrol
311,Hyundai Verna,Hyundai,2014,489999,44000,Diesel
312,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
313,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel
314,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol
315,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel
316,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel
317,Honda City 1.5,Honda,2010,240000,400000,Petrol
318,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol
319,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
320,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
321,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel
322,Tata Indigo eCS,Tata,2014,250000,40000,Diesel
323,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
324,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel
325,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel
326,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol
327,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
328,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol
329,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
330,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol
331,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
332,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel
333,Honda City ZX,Honda,2008,149000,42000,Petrol
334,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
335,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel
336,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel
337,Honda City 1.5,Honda,2010,225000,70000,Petrol
338,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol
339,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel
340,Toyota Etios,Toyota,2011,275000,36000,Diesel
341,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
342,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
343,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel
344,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol
345,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol
346,Tata Indigo LX,Tata,2016,130000,104000,Diesel
347,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
348,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
349,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol
350,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel
351,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol
352,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
353,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol
354,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol
355,Honda Jazz S,Honda,2009,169999,24695,Petrol
356,Hyundai Grand i10,Hyundai,2017,450000,15141,Petrol
357,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel
358,Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol
359,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel
360,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel
361,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Petrol
362,Hyundai i20 Magna,Hyundai,2013,310000,35000,Petrol
363,Renault Duster 85,Renault,2015,715000,65000,Diesel
364,Hyundai Grand i10,Hyundai,2014,340000,35000,Petrol
365,Honda Brio V,Honda,2012,235000,33000,Petrol
366,Mahindra TUV300 T4,Mahindra,2017,610000,68000,Diesel
367,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol
368,Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel
369,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel
370,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol
371,Toyota Fortuner 3.0,Toyota,2010,940000,131000,Diesel
372,Tata Manza ELAN,Tata,2010,155555,111111,Petrol
373,Chevrolet Beat LS,Chevrolet,2016,210000,22000,Diesel
374,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel
375,Tata Indigo LS,Tata,2016,125000,70000,Diesel
376,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol
377,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel
378,Renault Kwid RXT,Renault,2015,270000,43000,Petrol
379,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel
380,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel
381,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol
382,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol
383,Audi Q3 2.0,Audi,2013,1499000,37000,Diesel
384,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel
385,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
386,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel
387,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol
388,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol
389,Tata Nano GenX,Tata,2010,32000,44005,Petrol
390,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
391,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
392,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol
393,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol
394,Honda City SV,Honda,2017,760000,4000,Petrol
395,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol
396,Ford Figo Petrol,Ford,2011,175000,75000,Petrol
397,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
398,Honda City,Honda,2017,750000,3000,Petrol
399,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol
400,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
401,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol
402,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol
403,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol
404,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
405,Tata Indigo CS,Tata,2015,123000,100000,Diesel
406,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
407,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
408,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel
409,Honda City,Honda,2015,499999,55000,Petrol
410,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol
411,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol
412,Tata Zest XE,Tata,2018,480000,103553,Diesel
413,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel
414,Tata Sumo Gold,Tata,2014,250000,99000,Diesel
415,Toyota Corolla Altis,Toyota,2010,220000,58000,Petrol
416,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG
417,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
418,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel
419,Tata Tigor Revotron,Tata,2019,650000,100,Diesel
420,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
421,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
422,Honda Mobilio S,Honda,2014,399000,44000,Diesel
423,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
